# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (6.252812e-03 4.044420e-03 3.708560e-20)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-1.011105e-04 1.563203e-04 -3.296847e-03))
5             	((-9.868227e+01 -5.317983e+02 -1.298853e-14) (-9.015205e-03 1.743121e-02 2.129456e-17)) ((1.329496e+01 -2.467057e+00 -6.583710e+02) (-4.357803e-04 -2.253801e-04 7.394450e-02))
10            	((-5.093010e+01 -1.026578e+02 9.462624e-15) (2.531489e-01 6.640437e-02 -1.264077e-16)) ((2.566446e+00 -1.273253e+00 -1.541966e+03) (-1.660109e-03 6.328723e-03 -3.437648e-01))
15            	((-8.497010e+00 2.004195e+02 2.629678e-15) (1.708613e-01 9.753950e-02 3.916982e-17)) ((-5.010489e+00 -2.124252e-01 -1.147935e+03) (-2.438487e-03 4.271531e-03 8.060926e-03))
20            	((-1.525249e+01 2.015299e+02 -2.718445e-15) (1.009500e-01 1.048569e-01 7.109534e-17)) ((-5.038247e+00 -3.813122e-01 -8.068239e+02) (-2.621421e-03 2.523749e-03 -1.801079e-01))
25            	((-2.438021e+01 1.625199e+02 -1.477278e-15) (5.221661e-02 1.031852e-01 4.786571e-17)) ((-4.062999e+00 -6.095052e-01 -7.776985e+02) (-2.579629e-03 1.305415e-03 -1.767222e-01))
30            	((-1.982707e+01 1.761416e+02 3.264625e-16) (1.030837e-02 1.037113e-01 4.666714e-17)) ((-4.403541e+00 -4.956767e-01 -8.231768e+02) (-2.592784e-03 2.577091e-04 6.061504e-03))
35            	((-1.278703e+01 1.980349e+02 1.246725e-15) (-3.056313e-02 9.982743e-02 5.050527e-17)) ((-4.950872e+00 -3.196756e-01 -7.729548e+02) (-2.495686e-03 -7.640783e-04 2.183633e-01))
40            	((-6.797759e+00 2.058625e+02 2.963352e-15) (-5.738789e-02 9.428252e-02 4.726167e-17)) ((-5.146562e+00 -1.699440e-01 -6.558498e+02) (-2.357063e-03 -1.434697e-03 4.394148e-01))
45            	((1.821205e-01 2.080997e+02 5.250314e-15) (-6.326557e-02 8.903978e-02 4.013374e-17)) ((-5.202491e+00 4.553013e-03 -5.620594e+02) (-2.225994e-03 -1.581639e-03 6.252027e-01))
50            	((7.508634e+00 2.119959e+02 7.869160e-15) (-4.784639e-02 8.392695e-02 2.884113e-17)) ((-5.299897e+00 1.877158e-01 -4.563566e+02) (-2.098174e-03 -1.196160e-03 7.381293e-01))
55            	((1.389624e+01 2.110971e+02 1.072473e-14) (-1.268766e-02 7.860044e-02 2.271657e-17)) ((-5.277427e+00 3.474059e-01 -3.220193e+02) (-1.965011e-03 -3.171916e-04 7.885890e-01))
60            	((1.890733e+01 2.033309e+02 1.388050e-14) (4.113071e-02 7.316136e-02 1.073786e-17)) ((-5.083272e+00 4.726834e-01 -1.865377e+02) (-1.829034e-03 1.028268e-03 7.724789e-01))
65            	((2.236527e+01 1.886897e+02 1.728294e-14) (1.054966e-01 6.707257e-02 -4.283714e-19)) ((-4.717242e+00 5.591317e-01 -6.529572e+01) (-1.676814e-03 2.637415e-03 7.170712e-01))
70            	((2.447766e+01 1.659523e+02 2.143125e-14) (1.770809e-01 5.929890e-02 -8.629090e-17)) ((-4.148807e+00 6.119415e-01 3.087592e+01) (-1.482472e-03 4.427023e-03 6.169035e-01))
75            	((2.637470e+01 1.364386e+02 2.636480e-14) (2.585688e-01 4.846455e-02 -1.735397e-16)) ((-3.410965e+00 6.593674e-01 1.184299e+02) (-1.211614e-03 6.464221e-03 4.792352e-01))
80            	((2.877140e+01 1.074363e+02 3.073254e-14) (3.454117e-01 3.589433e-02 -2.236397e-16)) ((-2.685907e+00 7.192851e-01 2.192188e+02) (-8.973583e-04 8.635293e-03 3.415134e-01))
85            	((3.138202e+01 8.499690e+01 3.214844e-14) (4.171375e-01 2.602820e-02 -2.292829e-16)) ((-2.124922e+00 7.845506e-01 3.221880e+02) (-6.507049e-04 1.042844e-02 2.605244e-01))
90            	((3.210376e+01 6.887327e+01 2.932878e-14) (4.762932e-01 1.605649e-02 -1.733258e-16)) ((-1.721832e+00 8.025939e-01 3.492592e+02) (-4.014122e-04 1.190733e-02 1.746979e-01))
95            	((2.926183e+01 5.141633e+01 2.423493e-14) (5.122774e-01 8.747160e-03 -1.358144e-16)) ((-1.285408e+00 7.315457e-01 2.447311e+02) (-2.186790e-04 1.280693e-02 1.097704e-01))
100           	((2.321434e+01 3.428834e+01 1.823873e-14) (5.015862e-01 8.455226e-03 -1.073813e-16)) ((-8.572084e-01 5.803584e-01 4.067821e+01) (-2.113806e-04 1.253965e-02 1.325450e-01))
105           	((1.556004e+01 2.464875e+01 1.181631e-14) (4.485053e-01 1.518614e-02 -7.641064e-17)) ((-6.162188e-01 3.890010e-01 -1.948578e+02) (-3.796536e-04 1.121263e-02 2.225076e-01))
110           	((8.210936e+00 2.756986e+01 5.524479e-15) (3.747746e-01 2.579005e-02 -3.915341e-17)) ((-6.892464e-01 2.052734e-01 -3.881380e+02) (-6.447513e-04 9.369365e-03 3.025826e-01))
115           	((2.855641e+00 4.882176e+01 -2.033708e-16) (3.111605e-01 3.490691e-02 1.007874e-17)) ((-1.220544e+00 7.139103e-02 -4.780744e+02) (-8.726728e-04 7.779013e-03 2.752400e-01))
120           	((1.326705e-01 8.149359e+01 -2.511130e-15) (2.681251e-01 4.324424e-02 2.541161e-17)) ((-2.037340e+00 3.316762e-03 -4.608894e+02) (-1.081106e-03 6.703126e-03 1.656108e-01))
125           	((-1.566115e+00 1.116192e+02 -1.585280e-15) (2.364386e-01 5.197816e-02 4.052334e-17)) ((-2.790480e+00 -3.915287e-02 -4.129699e+02) (-1.299454e-03 5.910965e-03 4.807217e-02))
130           	((-3.834577e+00 1.251354e+02 1.440171e-15) (2.204858e-01 6.003100e-02 2.559579e-17)) ((-3.128384e+00 -9.586441e-02 -4.428064e+02) (-1.500775e-03 5.512145e-03 -5.320994e-02))
135           	((-6.479584e+00 1.295154e+02 5.439756e-15) (2.257313e-01 6.438443e-02 -2.813241e-17)) ((-3.237884e+00 -1.619896e-01 -5.392413e+02) (-1.609611e-03 5.643282e-03 -1.629622e-01))
140           	((-9.358874e+00 1.316540e+02 6.987317e-15) (2.280409e-01 6.826157e-02 -4.729295e-17)) ((-3.291350e+00 -2.339718e-01 -6.801028e+02) (-1.706539e-03 5.701023e-03 -2.168397e-01))
145           	((-1.178480e+01 1.330083e+02 6.459190e-15) (2.198591e-01 6.887314e-02 -9.597681e-18)) ((-3.325208e+00 -2.946199e-01 -7.980287e+02) (-1.721829e-03 5.496478e-03 -2.528400e-01))
150           	((-1.322191e+01 1.402234e+02 4.760426e-15) (1.862614e-01 7.184044e-02 1.856731e-18)) ((-3.505585e+00 -3.305479e-01 -8.806576e+02) (-1.796011e-03 4.656535e-03 -1.830833e-01))
155           	((-1.361851e+01 1.528103e+02 2.326350e-15) (1.401642e-01 7.508589e-02 2.653773e-17)) ((-3.820258e+00 -3.404629e-01 -9.281463e+02) (-1.877147e-03 3.504106e-03 -5.719678e-02))
160           	((-1.259053e+01 1.713096e+02 2.054445e-16) (8.824485e-02 7.637392e-02 4.057879e-17)) ((-4.282741e+00 -3.147632e-01 -9.216602e+02) (-1.909348e-03 2.206121e-03 7.402473e-02))
165           	((-1.000903e+01 1.943466e+02 -1.240392e-15) (2.840290e-02 7.913290e-02 6.196185e-17)) ((-4.858665e+00 -2.502259e-01 -8.508761e+02) (-1.978323e-03 7.100724e-04 2.416822e-01))
170           	((-6.529959e+00 2.143519e+02 -1.627007e-15) (-2.572130e-02 8.241907e-02 7.302315e-17)) ((-5.358797e+00 -1.632490e-01 -7.513686e+02) (-2.060477e-03 -6.430324e-04 4.114609e-01))
175           	((-2.381620e+00 2.289710e+02 -1.219068e-15) (-6.847411e-02 8.509996e-02 8.541594e-17)) ((-5.724276e+00 -5.954050e-02 -6.282235e+02) (-2.127499e-03 -1.711853e-03 5.626383e-01))
180           	((2.337827e+00 2.384798e+02 1.403440e-16) (-9.598533e-02 8.729909e-02 8.620510e-17)) ((-5.961995e+00 5.844568e-02 -4.795781e+02) (-2.182477e-03 -2.399633e-03 6.943423e-01))
185           	((7.396821e+00 2.417880e+02 2.815812e-15) (-1.004600e-01 8.688816e-02 7.601296e-17)) ((-6.044699e+00 1.849205e-01 -3.143663e+02) (-2.172204e-03 -2.511500e-03 7.789977e-01))
190           	((1.264624e+01 2.374315e+02 7.078905e-15) (-7.071350e-02 8.282498e-02 4.011370e-17)) ((-5.935787e+00 3.161559e-01 -1.436996e+02) (-2.070625e-03 -1.767837e-03 7.927112e-01))
195           	((1.770836e+01 2.235517e+02 1.308060e-14) (1.784423e-03 7.346315e-02 -4.783804e-18)) ((-5.588792e+00 4.427090e-01 1.127553e+01) (-1.836579e-03 4.461058e-05 7.046462e-01))
200           	((2.245609e+01 2.001425e+02 2.042553e-14) (1.136971e-01 6.070048e-02 -4.321602e-17)) ((-5.003562e+00 5.614022e-01 1.474311e+02) (-1.517512e-03 2.842428e-03 5.436551e-01))
205           	((2.672667e+01 1.704812e+02 2.808505e-14) (2.182314e-01 4.768902e-02 -1.414469e-16)) ((-4.262029e+00 6.681667e-01 2.797527e+02) (-1.192225e-03 5.455785e-03 3.925986e-01))
210           	((3.046720e+01 1.373045e+02 3.319580e-14) (3.210459e-01 3.370779e-02 -1.975488e-16)) ((-3.432613e+00 7.616801e-01 3.871580e+02) (-8.426948e-04 8.026148e-03 2.434721e-01))
215           	((3.310045e+01 1.080260e+02 3.387870e-14) (4.053664e-01 2.260305e-02 -2.366700e-16)) ((-2.700651e+00 8.275114e-01 4.488423e+02) (-5.650762e-04 1.013416e-02 1.489961e-01))
220           	((3.355789e+01 8.584681e+01 3.016167e-14) (4.714077e-01 1.241422e-02 -1.817456e-16)) ((-2.146170e+00 8.389472e-01 4.386323e+02) (-3.103555e-04 1.178519e-02 7.244911e-02))
