# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	9.144246e-03	2.272619e-02	7.711250e-04	9.529809e-03	-8.758684e-03
1             	5.729106e-01	1.344324e+00	-4.617044e-02	5.498254e-01	-5.959958e-01
2             	6.542063e-01	1.530704e+00	-6.109807e-02	6.236573e-01	-6.847553e-01
3             	5.714083e-01	1.336019e+00	-4.325132e-02	5.497826e-01	-5.930340e-01
4             	4.617115e-01	1.085354e+00	-2.858661e-02	4.474182e-01	-4.760048e-01
5             	3.713281e-01	8.811780e-01	-1.768570e-02	3.624852e-01	-3.801709e-01
6             	3.040054e-01	7.286209e-01	-4.352891e-03	3.018290e-01	-3.061818e-01
7             	2.572080e-01	6.218893e-01	6.671026e-03	2.605435e-01	-2.538725e-01
8             	2.265349e-01	5.519177e-01	1.164493e-02	2.323574e-01	-2.207124e-01
9             	2.071314e-01	5.079987e-01	1.400670e-02	2.141347e-01	-2.001280e-01
10            	1.944237e-01	4.801638e-01	1.623462e-02	2.025410e-01	-1.863064e-01
11            	1.858395e-01	4.619417e-01	1.913081e-02	1.954049e-01	-1.762741e-01
12            	1.805176e-01	4.500141e-01	2.397657e-02	1.925058e-01	-1.685293e-01
13            	1.777412e-01	4.427864e-01	2.963930e-02	1.925609e-01	-1.629216e-01
14            	1.771050e-01	4.391407e-01	3.536706e-02	1.947885e-01	-1.594215e-01
15            	1.769496e-01	4.361563e-01	4.135647e-02	1.976278e-01	-1.562714e-01
16            	1.765746e-01	4.333813e-01	4.668309e-02	1.999161e-01	-1.532330e-01
17            	1.764069e-01	4.321039e-01	5.062285e-02	2.017183e-01	-1.510955e-01
18            	1.762533e-01	4.311323e-01	5.281048e-02	2.026586e-01	-1.498481e-01
19            	1.759637e-01	4.299676e-01	5.358945e-02	2.027585e-01	-1.491690e-01
20            	1.755399e-01	4.284726e-01	5.302752e-02	2.020536e-01	-1.490261e-01
21            	1.751576e-01	4.275283e-01	5.110333e-02	2.007093e-01	-1.496060e-01
22            	1.744990e-01	4.270035e-01	4.925435e-02	1.991262e-01	-1.498718e-01
23            	1.729927e-01	4.260102e-01	4.846506e-02	1.972252e-01	-1.487601e-01
24            	1.705093e-01	4.242374e-01	4.905366e-02	1.950362e-01	-1.459825e-01
25            	1.675161e-01	4.222036e-01	5.093127e-02	1.929817e-01	-1.420504e-01
26            	1.645500e-01	4.200734e-01	5.331767e-02	1.912088e-01	-1.378911e-01
27            	1.619876e-01	4.180345e-01	5.545872e-02	1.897170e-01	-1.342583e-01
28            	1.598869e-01	4.159570e-01	5.682609e-02	1.883000e-01	-1.314739e-01
29            	1.581453e-01	4.138894e-01	5.775941e-02	1.870250e-01	-1.292656e-01
30            	1.566832e-01	4.119338e-01	5.867217e-02	1.860193e-01	-1.273471e-01
31            	1.555013e-01	4.103021e-01	5.960332e-02	1.853029e-01	-1.256996e-01
32            	1.547423e-01	4.091270e-01	6.057686e-02	1.850307e-01	-1.244539e-01
33            	1.543022e-01	4.084473e-01	6.156094e-02	1.850827e-01	-1.235217e-01
34            	1.541123e-01	4.081115e-01	6.259998e-02	1.854123e-01	-1.228123e-01
