# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.607801e-02 2.974112e-03 5.430269e-20)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-7.435280e-05 4.019503e-04 -6.271712e-03))
5             	((-3.257013e+02 -4.259536e+02 -5.762951e-14) (6.289150e-02 1.280180e-02 1.685018e-17)) ((1.064884e+01 -8.142532e+00 -3.292791e+02) (-3.200451e-04 1.572287e-03 9.291563e-02))
10            	((-9.832092e+01 4.107310e+01 -2.942078e-15) (1.727317e+00 1.167274e-01 -3.249340e-17)) ((-1.026828e+00 -2.458023e+00 -3.034335e+03) (-2.918186e-03 4.318291e-02 4.561207e-01))
15            	((5.849083e+01 4.085252e+02 6.967898e-15) (2.551674e+00 2.659318e-01 1.781355e-16)) ((-1.021313e+01 1.462271e+00 -2.713100e+03) (-6.648296e-03 6.379185e-02 -1.556286e+00))
20            	((7.257462e+00 3.676273e+02 -3.170982e-15) (2.368054e+00 2.669931e-01 1.430587e-16)) ((-9.190684e+00 1.814366e-01 -2.110492e+03) (-6.674829e-03 5.920135e-02 -2.310095e+00))
25            	((-4.145362e+01 2.631541e+02 2.727856e-15) (2.458810e+00 2.750970e-01 2.400673e-17)) ((-6.578852e+00 -1.036341e+00 -3.042124e+03) (-6.877424e-03 6.147026e-02 -3.194992e+00))
30            	((-3.339603e+01 2.792448e+02 -7.624381e-15) (2.529006e+00 2.827375e-01 5.276250e-17)) ((-6.981120e+00 -8.349007e-01 -3.779168e+03) (-7.068437e-03 6.322515e-02 -3.698179e+00))
35            	((-2.351675e+01 3.670480e+02 -1.076526e-14) (2.560412e+00 2.796132e-01 1.121094e-16)) ((-9.176200e+00 -5.879187e-01 -3.613475e+03) (-6.990330e-03 6.401030e-02 -4.284649e+00))
40            	((-3.322205e+01 3.964911e+02 -1.260329e-14) (2.579064e+00 2.847990e-01 1.177651e-16)) ((-9.912279e+00 -8.305512e-01 -3.579088e+03) (-7.119976e-03 6.447660e-02 -4.816643e+00))
45            	((-3.842885e+01 4.141021e+02 -1.537445e-14) (2.608334e+00 2.924088e-01 1.391823e-16)) ((-1.035255e+01 -9.607213e-01 -3.789172e+03) (-7.310221e-03 6.520836e-02 -5.237678e+00))
50            	((-3.939274e+01 4.419299e+02 -1.436980e-14) (2.631195e+00 2.980134e-01 1.476966e-16)) ((-1.104825e+01 -9.848184e-01 -3.854578e+03) (-7.450334e-03 6.577986e-02 -5.615111e+00))
55            	((-4.201828e+01 4.569542e+02 -1.527226e-14) (2.642161e+00 3.039424e-01 1.538294e-16)) ((-1.142386e+01 -1.050457e+00 -3.953690e+03) (-7.598559e-03 6.605402e-02 -5.920634e+00))
60            	((-4.468734e+01 4.718860e+02 -1.609593e-14) (2.652109e+00 3.092755e-01 1.598721e-16)) ((-1.179715e+01 -1.117183e+00 -4.035730e+03) (-7.731888e-03 6.630273e-02 -6.183406e+00))
65            	((-4.701819e+01 4.844086e+02 -1.621496e-14) (2.659008e+00 3.144032e-01 1.630185e-16)) ((-1.211022e+01 -1.175455e+00 -4.114048e+03) (-7.860081e-03 6.647519e-02 -6.404633e+00))
70            	((-4.912823e+01 4.959114e+02 -1.651431e-14) (2.663281e+00 3.192739e-01 1.663629e-16)) ((-1.239779e+01 -1.228206e+00 -4.183826e+03) (-7.981848e-03 6.658203e-02 -6.591449e+00))
75            	((-5.107006e+01 5.055772e+02 -1.672361e-14) (2.665586e+00 3.238818e-01 1.684932e-16)) ((-1.263943e+01 -1.276751e+00 -4.248808e+03) (-8.097045e-03 6.663966e-02 -6.751481e+00))
80            	((-5.287031e+01 5.141271e+02 -1.682837e-14) (2.666270e+00 3.283045e-01 1.700862e-16)) ((-1.285318e+01 -1.321758e+00 -4.307609e+03) (-8.207613e-03 6.665674e-02 -6.888751e+00))
85            	((-5.449270e+01 5.213174e+02 -1.697058e-14) (2.666529e+00 3.324562e-01 1.713246e-16)) ((-1.303294e+01 -1.362317e+00 -4.359886e+03) (-8.311406e-03 6.666323e-02 -7.009303e+00))
90            	((-5.593880e+01 5.276131e+02 -1.706569e-14) (2.667127e+00 3.362687e-01 1.723355e-16)) ((-1.319033e+01 -1.398470e+00 -4.405114e+03) (-8.406717e-03 6.667817e-02 -7.117323e+00))
95            	((-5.720538e+01 5.330319e+02 -1.718459e-14) (2.668546e+00 3.396111e-01 1.733074e-16)) ((-1.332580e+01 -1.430135e+00 -4.444112e+03) (-8.490276e-03 6.671366e-02 -7.215971e+00))
100           	((-5.829088e+01 5.376735e+02 -1.728548e-14) (2.670739e+00 3.424141e-01 1.742058e-16)) ((-1.344184e+01 -1.457272e+00 -4.477281e+03) (-8.560353e-03 6.676847e-02 -7.306629e+00))
105           	((-5.921666e+01 5.416576e+02 -1.739668e-14) (2.673593e+00 3.446204e-01 1.751898e-16)) ((-1.354144e+01 -1.480417e+00 -4.503855e+03) (-8.615511e-03 6.683982e-02 -7.390647e+00))
110           	((-6.001310e+01 5.453999e+02 -1.748674e-14) (2.676643e+00 3.463284e-01 1.761616e-16)) ((-1.363500e+01 -1.500327e+00 -4.527716e+03) (-8.658210e-03 6.691608e-02 -7.466558e+00))
115           	((-6.068589e+01 5.486294e+02 -1.758231e-14) (2.679575e+00 3.477102e-01 1.771266e-16)) ((-1.371574e+01 -1.517147e+00 -4.547514e+03) (-8.692755e-03 6.698938e-02 -7.532400e+00))
120           	((-6.126375e+01 5.514968e+02 -1.766964e-14) (2.682439e+00 3.488240e-01 1.780460e-16)) ((-1.378742e+01 -1.531594e+00 -4.564109e+03) (-8.720600e-03 6.706097e-02 -7.589690e+00))
125           	((-6.177091e+01 5.540214e+02 -1.774836e-14) (2.685045e+00 3.497880e-01 1.788834e-16)) ((-1.385053e+01 -1.544273e+00 -4.578463e+03) (-8.744700e-03 6.712613e-02 -7.638836e+00))
130           	((-6.221503e+01 5.562116e+02 -1.781497e-14) (2.687237e+00 3.506431e-01 1.795916e-16)) ((-1.390529e+01 -1.555376e+00 -4.591175e+03) (-8.766078e-03 6.718093e-02 -7.681082e+00))
135           	((-6.260752e+01 5.581301e+02 -1.786990e-14) (2.688965e+00 3.514026e-01 1.801900e-16)) ((-1.395325e+01 -1.565188e+00 -4.602325e+03) (-8.785064e-03 6.722411e-02 -7.717388e+00))
140           	((-6.295666e+01 5.598033e+02 -1.791662e-14) (2.690287e+00 3.520820e-01 1.806926e-16)) ((-1.399508e+01 -1.573917e+00 -4.612243e+03) (-8.802050e-03 6.725718e-02 -7.748631e+00))
145           	((-6.326519e+01 5.612694e+02 -1.795546e-14) (2.691291e+00 3.526938e-01 1.811122e-16)) ((-1.403174e+01 -1.581630e+00 -4.621023e+03) (-8.817344e-03 6.728227e-02 -7.775595e+00))
150           	((-6.353924e+01 5.625519e+02 -1.798814e-14) (2.692057e+00 3.532485e-01 1.814629e-16)) ((-1.406380e+01 -1.588481e+00 -4.628811e+03) (-8.831211e-03 6.730143e-02 -7.798949e+00))
155           	((-6.378313e+01 5.636742e+02 -1.801577e-14) (2.692659e+00 3.537501e-01 1.817520e-16)) ((-1.409185e+01 -1.594578e+00 -4.635743e+03) (-8.843753e-03 6.731648e-02 -7.819254e+00))
160           	((-6.399734e+01 5.646540e+02 -1.803900e-14) (2.693148e+00 3.541979e-01 1.820012e-16)) ((-1.411635e+01 -1.599934e+00 -4.641819e+03) (-8.854947e-03 6.732870e-02 -7.837052e+00))
165           	((-6.418672e+01 5.655176e+02 -1.805976e-14) (2.693560e+00 3.545955e-01 1.822227e-16)) ((-1.413794e+01 -1.604668e+00 -4.647162e+03) (-8.864889e-03 6.733901e-02 -7.852706e+00))
